Data,Open,High,Low,Close,Volume
1994-08-02,8.2789,8.2789,8.2789,8.2789,347109.0
1994-08-03,9.0931,9.0931,9.0931,9.0931,325196.0
1994-08-04,9.995,9.995,9.995,9.995,355499.0
1994-08-08,9.0931,9.0931,9.0931,9.0931,263619.0
1994-08-09,10.732,10.732,10.732,10.732,135441.0
1994-08-10,10.123,10.123,10.123,10.123,156263.0
1994-08-11,9.917,9.917,9.917,9.917,127846.0
1994-08-16,10.536,10.536,10.536,10.536,81439.0
1994-08-17,11.065,11.065,11.065,11.065,82459.0
1994-08-18,9.956,9.956,9.956,9.956,54547.0
1994-08-22,10.33,10.33,10.33,10.33,105020.0
1994-08-23,9.505,9.505,9.505,9.505,68436.0
1994-08-24,9.299,9.299,9.299,9.299,75990.0
1994-08-25,8.3575,8.3575,8.3575,8.3575,64062.0
1994-08-29,9.0538,9.0538,9.0538,9.0538,88751.0
1994-08-30,9.0146,9.0146,9.0146,9.0146,57584.0
1994-08-31,8.4849,8.4849,8.4849,8.4849,46757.0
1994-09-01,8.2789,8.2789,8.2789,8.2789,68146.0
1994-09-05,7.8669,7.8669,7.8669,7.8669,43109.0
1994-09-06,7.0724,7.0724,7.0724,7.0724,37739.0
1994-09-07,6.3759,6.3759,6.3759,6.3759,156803.0
1994-09-08,6.9841,6.9841,6.9841,6.9841,86789.0
1994-09-12,7.661,7.661,7.661,7.661,108685.0
1994-09-13,6.9056,6.9056,6.9056,6.9056,163573.0
1994-09-14,7.0233,7.0233,7.0233,7.0233,67828.0
1994-09-15,6.886,6.886,6.886,6.886,39334.0
1994-09-19,6.8664,6.8664,6.8664,6.8664,54914.0
1994-09-20,6.1895,6.1895,6.1895,6.1895,63258.0
1994-09-21,5.6304,5.6304,5.6304,5.6304,89661.0
1994-09-22,5.856,5.856,5.856,5.856,79343.0
1994-09-26,5.6991,5.6991,5.6991,5.6991,49891.0
1994-09-27,5.2872,5.2872,5.2872,5.2872,56520.0
1994-09-28,5.2872,5.2872,5.2872,5.2872,101838.0
1994-09-29,5.5912,5.5912,5.5912,5.5912,51087.0
1994-10-03,6.1503,6.1503,6.1503,6.1503,104549.0
1994-10-04,6.2092,6.2092,6.2092,6.2092,123799.0
1994-10-05,6.8272,6.8272,6.8272,6.8272,80134.0
1994-10-06,6.7193,6.7193,6.7193,6.7193,99861.0
1994-10-07,6.8468,6.8468,6.8468,6.8468,82013.0
1994-10-10,6.7193,6.7193,6.7193,6.7193,52166.0
1994-10-11,6.4152,6.4152,6.4152,6.4152,54413.0
1994-10-12,6.4152,6.4152,6.4152,6.4152,48188.0
1994-10-13,5.7776,5.7776,5.7776,5.7776,87821.0
1994-10-14,6.3269,6.3269,6.3269,6.3269,126534.0
1994-10-17,6.6212,6.6212,6.6212,6.6212,91002.0
1994-10-18,6.8272,6.8272,6.8272,6.8272,89757.0
1994-10-19,6.7193,6.7193,6.7193,6.7193,44166.0
1994-10-20,6.6016,6.6016,6.6016,6.6016,117705.0
1994-10-21,6.2681,6.2681,6.2681,6.2681,59848.0
1994-10-24,5.7972,5.7972,5.7972,5.7972,59138.0
1994-10-25,5.8756,5.8756,5.8756,5.8756,45691.0
1994-10-26,5.9051,5.9051,5.9051,5.9051,113586.0
1994-10-27,5.5912,5.5912,5.5912,5.5912,31924.0
1994-10-28,5.4735,5.4735,5.4735,5.4735,27974.0
1994-11-02,6.0228,6.0228,6.0228,6.0228,41354.0
1994-11-03,5.9639,5.9639,5.9639,5.9639,17056.0
1994-11-04,5.9443,5.9443,5.9443,5.9443,44719.0
1994-11-07,5.9051,5.9051,5.9051,5.9051,35038.0
1994-11-08,5.9051,5.9051,5.9051,5.9051,20199.0
1994-11-09,5.9247,5.9247,5.9247,5.9247,52356.0
1994-11-10,5.9247,5.9247,5.9247,5.9247,44859.0
1994-11-14,5.9051,5.9051,5.9051,5.9051,37173.0
